,Schwyz,Geneve,Solothurn,Basel-Landschaft,Freiburg,Appenzell-Innerrhoden,Luzern,Zug,Aargau,Schaffhausen,Zurich,Jura,Neuchatel,Obwalden,Glarus,Uri,Appenzell-Auserrhoden,Thurgau,Nidwalden,Ticino,Basel-Stadt,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-03-04,157171,126973,299542,207206,163920,1156,245486,153776,478590,6699,552873,6318,65847,8897,65196,39737,10763,146098,62257,132454,116634,461368,85401,390658,534748,127954
2019-03-05,157854,125940,308650,215489,168655,1341,252452,157426,495328,7108,568215,6626,67490,9162,61902,39035,11416,152774,63983,126342,120994,474994,82130,391376,552844,131763
2019-03-06,170452,132167,324715,220918,175915,1354,275117,167122,517987,7426,589490,7229,70035,10140,67970,42149,11693,160041,68814,128514,122036,494583,87706,418198,571990,138130
2019-03-07,171457,137381,321784,220375,177487,1285,270702,166991,511176,7524,587086,6929,67879,10244,70499,43763,11561,158877,69359,128554,124974,487509,89002,423979,572686,137947
2019-03-08,210326,148420,344987,238050,197021,1481,296493,178300,545467,8878,634158,8830,74218,12539,100894,55850,12534,171585,80702,141436,134353,525123,128385,512948,632018,175683
2019-03-09,198127,142123,333545,224197,206208,1610,256527,152355,498270,10082,581963,7263,67324,12217,105989,54760,11886,161712,74966,115781,127674,506128,134444,489169,585787,174866
2019-03-10,162494,124782,250645,158083,148467,1212,193016,119115,378533,6684,453839,6319,46579,9062,92655,53144,9931,118613,57583,110148,93613,362404,116699,384109,452608,129590
2019-03-11,162433,127929,291565,179426,164177,1200,262273,159843,465062,6712,543915,6742,64885,10022,64855,43755,10399,146152,67858,134388,101129,452237,84285,392069,523355,126855
2019-03-12,168774,128863,311148,206427,174026,1268,280061,167987,505322,6888,575473,6531,70428,10743,65193,45535,11386,154699,72532,144713,118158,478770,80933,404650,557049,133146
2019-03-13,171033,130480,320061,207183,174898,1173,288298,171689,515397,7050,585472,6931,71611,11024,65689,45898,11109,155361,74275,141079,117430,487305,82902,411207,560491,134598
2019-03-14,168791,134121,316183,211226,172941,1286,278119,167705,503827,7011,575437,6597,66127,10449,68083,49601,11431,156155,73544,145214,119158,477747,83850,412879,546638,130198
2019-03-15,205658,144989,339225,228664,196831,1273,299972,177543,538604,8438,619577,8940,73928,12232,96788,59431,12160,168248,84451,158775,127467,521870,124548,496839,619025,171457
2019-03-16,201431,148452,335631,210243,212657,1912,270958,158162,500568,9995,583649,7631,70600,13551,102268,60204,13046,164954,82939,131181,118141,511891,124633,485901,606523,170590
2019-03-17,175813,127463,269771,169736,152011,1702,209646,129761,412613,9154,489060,6623,49422,11818,104857,54030,11108,131869,63920,103405,91469,389345,123311,416909,474135,138022
2019-03-18,160654,116577,298888,214856,163194,1139,267513,162291,486266,6704,551890,6509,65650,10052,62556,42771,10480,147872,69623,125238,122312,455679,82069,388262,524229,123455
2019-03-19,155067,117646,316826,222558,169446,1146,282287,167270,509252,6653,569716,6586,69514,10799,64142,44665,11140,153923,69285,97729,125746,491123,81586,393074,562130,109929
2019-03-20,177624,118791,328864,230859,175292,1240,297099,174979,528922,7344,589696,7168,71894,12014,68819,50374,11764,159596,79692,143930,129482,497183,88425,426251,566934,141649
2019-03-21,174202,121128,316631,220640,170413,1334,277620,167258,509659,7345,580448,6456,67378,11509,72135,47361,11629,154776,73346,137131,126623,474662,88934,417709,554710,137357
2019-03-22,193545,125762,310288,217483,181444,1528,280850,167020,500504,7993,582804,7326,66602,12301,93034,58549,12286,155158,79425,140450,126952,470870,118713,462338,580306,168062
2019-03-23,173240,113190,286149,187549,177363,1720,244485,143737,443251,8461,518681,6341,60429,11867,84653,52424,11458,145771,71846,108788,110039,431260,104108,406456,526576,150761
2019-03-24,169352,99921,241235,155867,149354,1927,205777,126035,375372,8009,446320,5457,48714,11135,95155,54050,11251,120979,65926,107160,92824,358390,118550,391437,458095,138144
2019-03-25,149278,106115,274556,196372,147982,1062,244585,147599,448397,6094,514243,5889,56898,9624,58926,42867,9911,134075,64465,125589,114460,410472,74391,353913,476817,123842
2019-03-26,162804,112849,319270,239393,170257,1158,278419,167260,515457,6489,567728,6159,69264,11127,60498,43535,10573,149198,72481,135069,126610,479820,76500,389341,536850,135734
2019-03-27,176578,119828,327940,230706,179513,1215,297813,177560,531093,6954,591903,6822,73228,11938,66975,49771,11621,160074,79584,144968,126987,498846,84298,422302,570711,145125
2019-03-28,183423,125373,333323,233592,182707,1292,299950,180365,541228,7786,607361,7188,74046,12356,73774,51219,12234,161245,79664,148051,131378,502200,91081,436543,583576,148478
2019-03-29,202896,133016,340434,241812,192443,1495,316330,187256,556306,8915,633289,8304,75358,13815,92220,63957,13010,171855,89043,156284,136385,517949,118551,494651,619955,175253
2019-03-30,183965,118321,320487,208013,182968,1777,289132,166969,504500,9690,574548,6911,69957,12468,82454,57196,13125,161022,81461,127378,118502,484145,102877,428091,566711,156197
2019-03-31,175201,109043,268275,171357,153245,1938,232938,140778,421466,9288,494477,6871,56413,12234,92289,61349,11805,132543,73865,120501,100958,393436,114791,400766,479893,138846
2019-04-01,165138,113963,302974,216820,164061,1135,274708,165132,492305,6485,555460,6471,66924,11045,63870,45848,10964,148457,74512,138211,122603,460475,82662,397048,526353,130186
2019-04-02,165588,113810,314335,221309,168945,1268,281554,166980,510575,6743,567299,6714,70030,11069,62662,41531,11482,151027,72086,137111,123472,478911,79845,399349,542652,131789
2019-04-03,169048,119089,322871,224039,168971,1127,288876,171799,524341,6874,581659,6735,70614,11553,64549,44510,12060,158316,74742,139075,124636,487702,79459,415539,544167,133672
2019-04-04,166442,114985,314950,225352,164878,1184,270554,168174,514709,6678,569189,6617,69178,9948,66983,26285,11608,156332,61154,126819,127319,482481,83902,412426,524523,127636
2019-04-05,195766,129629,345101,245854,188515,1507,307788,179377,554452,8638,630345,7915,74122,12326,85996,65633,12901,171622,86085,161345,141138,513745,111292,474417,604022,163375
2019-04-06,175873,120494,317747,215603,172975,1741,272023,153111,494371,9038,550767,6776,67234,11567,80788,57137,12365,155200,78894,129691,125768,456459,98386,412639,549279,148168
2019-04-07,153593,100163,263702,181770,135125,1527,208641,123768,409680,8863,464001,5846,46217,9898,79545,56811,11233,128227,64492,112177,107546,361224,93217,361601,420288,114628
2019-04-08,157584,114749,295511,217742,157772,1297,264129,157134,484907,6873,542654,5895,62424,10418,62163,48652,11622,149752,71383,138637,126119,435171,79482,379008,505622,124066
2019-04-09,152415,117875,293345,210112,157503,1264,259180,156292,481737,6561,544647,5977,63635,10009,57842,43220,11024,145941,67409,133144,120485,439378,71288,366713,511335,124004
2019-04-10,158075,113321,301893,214420,158709,1207,269988,160309,495091,7229,559182,5919,62504,10243,60813,46354,11245,149716,70956,138569,122167,437885,74250,378770,494780,122970
