,Solothurn,Basel-Landschaft,Schwyz,Aargau,Ticino,Schaffhausen,Uri,Freiburg,Luzern,Geneve,Zug,Jura,Obwalden,Thurgau,Glarus,Basel-Stadt,Appenzell-Ausserrhoden,Nidwalden,Zurich,Appenzell-Innerrhoden,Neuchatel,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-02-17,870265,726397,683138,1466850,572129,166126,154483,719190,976358,813324,420649,124306,118440,610870,253762,544228,174662,225687,2650059,57645.0,338274,2438252,879180,1612062,1883893,1009017
2019-02-18,1182453,1047796,632686,2120294,860112,232922,123960,892102,1221807,1302616,569260,154908,104580,825778,187481,871337,180885,208300,4058298,39046.0,488183,3101192,728606,1771993,2531261,1035182
2019-02-19,1240808,1088864,643142,2221290,886903,240470,123728,924728,1273166,1344230,606171,163101,105107,853408,182797,919160,191106,206224,4251093,40927.0,514722,3224243,724659,1816153,2652750,1054477
2019-02-20,1257736,1103057,652785,2255396,899783,244727,126816,948797,1298706,1349310,603142,163958,106933,866605,186464,923299,191567,210934,4312792,40669.0,524335,3265293,725563,1839263,2690184,1064670
2019-02-21,1290620,1117439,670376,2286574,920920,248486,133084,956114,1302832,1376953,617415,166031,107659,884712,195123,944049,195350,211757,4386585,41214.0,528846,3320462,754248,1891748,2705658,1082481
2019-02-22,1295245,1112069,703659,2292512,935767,247094,149792,991859,1308607,1362358,608574,171040,113233,891546,236218,914711,190060,224004,4295631,38200.0,526718,3375363,813115,1975958,2767691,1190142
2019-02-23,1072312,876403,689866,1924026,715068,210879,146891,838197,1096866,1050583,493903,145107,113223,772984,268604,695740,169923,216453,3482627,41737.0,418475,2892304,952917,1862733,2197856,1246835
2019-02-24,857568,673958,624819,1463809,554124,166787,140172,680661,891953,860443,407612,122091,102892,618891,238294,506180,155101,197110,2765276,46686.0,307971,2319225,780485,1537139,1714881,979531
2019-02-25,1204318,1064695,609539,2158948,872403,232651,120609,897082,1158968,1504606,570024,171048,98121,835496,180434,894350,181674,195861,4322880,37762.0,442759,3146715,680610,1779169,2330463,1062920
2019-02-26,1263119,1104908,619740,2257497,888591,242157,122798,941320,1212029,1571004,591936,180696,100633,864916,176526,932319,189815,197499,4528154,39577.0,465049,3307983,662858,1820636,2419629,1075756
2019-02-27,1306381,1136903,652508,2312473,930659,249368,133727,970843,1258183,1605292,607593,190182,108418,897011,193177,952424,197860,208704,4632281,42224.0,480533,3398748,698587,1910112,2484317,1124633
