,Zurich,Aargau,Jura,Solothurn,Luzern,Appenzell-Auserrhoden,Basel-Stadt,Schwyz,Uri,Thurgau,Nidwalden,Basel-Landschaft,Zug,Freiburg,Glarus,Schaffhausen,Ticino,Obwalden,Appenzell-Innerrhoden,Neuchatel,Geneve,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-02-17,338394,173674,10016,149674,72322,14762,55206,83434,18925,57239,13610,66456,51563,54393,42256,16537,23224,8711,3826,27373,45828,306822,83959,167630,182238,130742
2019-02-18,621589,290389,12471,215983,103073,17125,87431,78253,13349,91422,13364,102128,79825,77681,33206,27869,32302,8454,2597,41147,78216,405124,67583,189222,283686,122628
2019-02-19,655561,308574,12816,231334,109090,18430,90292,79371,13114,94928,13404,107093,84259,80960,32565,27995,32925,8462,2871,43032,78555,426188,67939,194465,296410,122092
2019-02-20,661375,310483,12866,232781,108053,17952,92437,80597,13376,95376,13194,108143,84620,80491,33164,28002,33922,8367,2781,42550,78209,423964,69475,196468,297124,122235
2019-02-21,679401,320243,13164,243537,110467,18591,95535,83562,14900,98621,13412,111115,87112,84264,33990,29226,35085,8394,2774,44207,82042,440109,71668,204220,302716,128691
2019-02-22,640280,303672,13650,234825,106310,18671,91354,90540,17819,96554,13969,107452,83645,84357,41926,27590,37623,8881,2677,43657,81144,442625,85684,217075,307644,147273
2019-02-23,418028,203762,9666,162076,79027,15345,61526,76214,15047,68896,14072,72755,54563,56877,39236,20361,24256,9289,2858,29885,47038,343450,83767,177513,198647,150988
2019-02-24,345416,173529,8896,143230,69011,14296,52343,78434,18783,58224,12669,61382,51101,50511,39128,16835,23442,8038,3186,26417,46414,287945,75368,163409,165041,125046
2019-02-25,653351,297409,13644,222773,97439,17112,90392,75524,12850,91586,11876,104781,79458,77414,31035,27554,32260,7369,2550,37837,80562,408817,62903,187806,263558,121409
2019-02-26,693806,318236,14491,238987,104539,17891,94062,76540,13653,96506,12358,109724,84989,79651,30554,28815,33951,7617,2797,39674,79862,429475,62532,192209,269150,118947
2019-02-27,699889,320050,14863,242236,106639,18733,95899,81796,14894,99868,13114,111437,86503,82481,33094,30101,35735,8528,2753,41360,80844,441669,67583,201535,276054,127012
2019-02-28,701577,321688,14766,243533,121969,18403,98022,82495,15267,98961,15161,114815,91352,84243,33263,28994,40502,8725,2686,41974,83666,438987,68404,201252,278987,126372
2019-03-01,662209,300806,14754,228191,93974,17587,92701,83570,17195,96245,11872,107573,79221,82304,38351,28392,45115,8121,2464,31600,85517,431625,77383,207058,273855,127380
2019-03-02,412515,196765,9518,155434,84861,13814,61375,68058,14966,65627,14030,72668,55413,54629,33789,19607,33819,8989,2637,25185,48555,330469,75961,160225,187384,135916
2019-03-03,331401,165032,9534,140086,66533,13387,52859,71460,17959,54990,11033,62729,49873,49876,34681,16016,31734,7237,2513,25378,47372,275276,70172,151626,162917,117789
2019-03-04,654898,291843,13514,219140,104810,16152,84195,70981,11825,90868,11726,97299,79809,73397,29589,27412,28997,6918,2061,41136,89319,396720,60867,181761,284469,91878
2019-03-05,684325,308733,13812,230906,104754,17147,87318,73565,13600,94470,12285,102301,82658,75851,28719,27320,32624,7158,2340,42862,90819,418404,63021,184402,295666,110282
2019-03-06,698950,316961,14452,238583,103198,17454,87705,76161,12544,98120,12547,102602,82253,78371,30581,28849,29167,7917,2434,45630,96157,432961,62488,192610,302913,105734
2019-03-07,689843,312734,14485,237369,98897,16374,86607,74471,12613,97388,11291,100918,82510,77328,30292,28211,27189,7203,2192,46477,99875,414736,58813,188338,300453,95069
2019-03-08,686330,310042,15617,235878,103787,17690,88274,87405,17463,100023,13192,103401,84288,83677,39470,29299,32485,8671,2399,48590,109770,443699,80226,212524,326749,138033
2019-03-09,420792,204846,10231,165087,75400,13415,61239,69894,16835,68423,11554,73340,54139,57973,32766,19638,26279,8029,2067,32825,69349,336204,72746,158810,212947,123246
