,Luzern,Ticino,Thurgau,Basel-Landschaft,Freiburg,Schwyz,Aargau,Basel-Stadt,Glarus,Obwalden,Geneve,Appenzell-Innerrhoden,Zug,Uri,Appenzell-Ausserrhoden,Zurich,Solothurn,Neuchatel,Jura,Nidwalden,Schaffhausen,Bern,Graubunden,Sankt-Gallen,Waadt,Wallis
2019-03-05,873348,607378,593794,672980,624664,427554,1493069,535522,125356,69211,1118525,25764,363816,95668,127717,2922766,853444,345047,123740,135168,165182,2221189,530962,1243681,1835041,780322
2019-03-06,861832,575436,631639,686331,651051,451417,1561358,546637,136317,72035,1163774,27785,382676,92767,135575,3066147,888884,363882,129203,144428,174865,2318666,522320,1315566,1913377,763825
2019-03-07,809959,546665,611164,668481,615271,431741,1515512,540762,130830,65128,1129833,26011,373255,92373,130173,2967200,859937,346141,122051,134163,170056,2187789,457132,1263139,1807543,677957
2019-03-08,914903,660094,671536,740798,697589,519442,1668930,591720,182502,80496,1232731,29598,411939,121012,141457,3197002,936503,382427,137909,161836,187016,2471728,672356,1480874,2047419,900819
2019-03-09,947945,660377,687110,736478,729801,556954,1729313,566832,202978,87018,1198516,30460,427820,127432,145044,3222810,955409,382782,131606,176583,184000,2546781,747213,1553285,2035105,877162
2019-03-10,678184,553829,461072,562848,521011,432161,1158128,439733,169975,59187,888435,21868,311293,113481,101675,2215293,679850,252961,94700,126899,122407,1706659,570112,1114999,1427514,571312
2019-03-11,776951,601769,539049,623573,588248,401538,1337124,678910,119185,61597,1036111,22738,338069,87345,113791,2628927,761155,313286,110184,125428,152771,1928693,402680,1129859,1629287,573086
2019-03-12,858939,647599,585715,674851,647862,448164,1462893,711471,125742,71118,1076005,29091,371136,101423,128241,2910115,828963,348531,123767,144536,160956,2171891,466740,1238389,1789754,693525
2019-03-13,868882,660280,592472,653351,656508,440083,1482748,637054,124212,68784,1085871,26408,375927,99912,124319,2929504,839448,353960,124138,140836,163292,2156642,437979,1224874,1797565,668928
2019-03-14,817637,633893,561299,619716,606216,419478,1393278,507252,122685,63455,1029807,25455,368765,96745,120550,2764185,794050,320930,114079,134412,154562,1999756,405091,1176560,1645071,596358
2019-03-15,925360,716080,625035,691256,712068,504268,1560545,537512,170146,76979,1153021,27249,397464,114520,130007,3035367,894363,367287,131950,161245,170710,2303438,504271,1375096,1941215,736235
2019-03-16,1080211,706495,730028,764314,844962,628928,1792777,567866,205320,109265,1244506,37733,457711,150956,155904,3445672,1001357,410541,142228,211638,200549,2728664,750738,1668511,2192759,1011945
2019-03-17,763402,462881,533288,576166,562635,503033,1264497,409384,201106,83250,857110,32110,343019,122167,125222,2417756,739193,260001,101737,159851,139128,1870388,595519,1298257,1483520,699961
2019-03-18,796841,612088,546165,688642,604853,405749,1364036,551365,114882,65215,962641,24168,344085,88117,114468,2672957,777309,318287,112751,130725,150616,1970390,395222,1136802,1647890,626126
2019-03-19,881449,508109,582398,730027,639712,402270,1467590,585278,125250,74142,1011590,26719,373690,98307,125881,2878843,839388,341919,121557,136899,159732,2164892,432133,1218190,1817437,600505
2019-03-20,916434,661494,618752,766994,677994,483613,1573238,618319,134336,79587,1047759,27982,395390,113588,133734,3054996,893884,369642,130049,159565,171541,2321509,467601,1309179,1858512,708628
2019-03-21,816679,585052,559909,691394,604036,440023,1403637,568276,130976,72640,929676,26010,354978,100022,124065,2707297,812016,321566,115207,143629,154472,2028010,432028,1193517,1649461,627010
2019-03-22,863590,606184,578930,695665,645533,489917,1440006,574124,164351,81284,944874,28258,375844,123430,126962,2764761,821128,332742,119623,161684,160125,2107538,523640,1295811,1743636,725270
2019-03-23,930129,604185,632698,694603,694287,536132,1526989,559455,171402,94137,921730,34067,396993,131080,137339,2888905,853046,353989,126177,184686,174163,2230357,599018,1381883,1831296,825872
2019-03-24,772847,498469,516269,559822,578412,506379,1201796,445831,182409,84922,716173,33246,342018,128412,124172,2282109,707795,270914,103495,166334,141845,1828648,525737,1228988,1489631,664090
2019-03-25,694191,528561,475503,599950,522139,361476,1207706,486754,102733,57358,801509,19808,303751,83405,100300,2318223,684566,273594,98416,118658,132423,1671181,317773,977810,1420912,532884
2019-03-26,838129,635381,571775,760491,635406,423459,1462569,589541,114906,68084,969213,24920,371900,93230,121711,2803458,842218,342525,121372,138542,158481,2072835,380011,1172141,1734871,639949
2019-03-27,925963,688511,626508,774825,689627,470838,1595580,596565,130679,76746,1083453,27465,401208,112122,133058,3059821,914767,376074,130928,155967,172760,2247760,426002,1289455,1886022,702047
2019-03-28,918832,687897,629946,769388,682416,479310,1576428,609422,139617,78073,1062555,28786,399405,111432,137610,3035073,908597,366727,129140,157066,173341,2247218,447843,1317482,1864638,690935
2019-03-29,1005412,720970,683956,817451,746432,541726,1685072,640179,172772,87759,1109861,30613,436433,135310,145706,3250302,946241,388406,142077,179595,190812,2395730,550506,1470510,2022840,807655
2019-03-30,1153770,746816,769399,828611,818885,613256,1868722,639309,183545,101324,1114757,38143,486174,143599,163465,3530010,1030852,429190,158376,207936,212994,2685751,647986,1602891,2210522,922694
2019-03-31,903326,591826,606388,653609,655571,557186,1416957,515514,187972,89014,847778,37944,395183,143136,141920,2735187,824879,329431,128505,183238,173005,2158667,544952,1368542,1732886,722110
2019-04-01,843252,642169,585372,727590,638922,438781,1447236,575132,122443,71036,990391,25916,364526,96933,127631,2853887,817042,334257,122359,145160,164965,2065115,395433,1213375,1740854,639873
2019-04-02,866587,641233,607352,759431,658673,442806,1531909,601462,118545,72498,1019313,27834,374161,89716,133119,2961076,866698,351553,126131,141545,170907,2151514,373302,1237282,1804146,629754
2019-04-03,883263,625637,623940,739966,643034,448313,1548268,584043,124566,70551,1005238,28963,383204,92910,137678,3004063,884832,339259,122256,144511,171593,2117027,370604,1277245,1759813,621293
2019-04-04,812389,597026,591066,730485,630724,418752,1475030,583306,112218,59839,1005436,23838,370617,78077,124119,2809949,852875,338626,118841,119630,163752,2051753,346556,1185783,1709757,566501
2019-04-05,945961,716085,655015,796885,706668,501565,1627415,633071,153035,79217,1067101,27323,406498,125215,137069,3127656,917336,363670,133436,166953,184391,2265640,459444,1364761,1949106,755405
2019-04-06,1028100,681392,703455,795617,732266,547236,1746586,621668,163714,91641,1059730,32365,427274,122000,144452,3291401,944551,387387,137624,186468,205570,2355469,534421,1442742,2043896,808141
2019-04-07,747194,489243,528793,604983,516337,454898,1293168,459601,154920,64648,757516,28896,330590,112249,120548,2490111,730472,245398,101947,139338,158731,1668123,417862,1168357,1386665,532283
2019-04-08,754747,598214,540285,650309,552017,406156,1332422,515981,111225,59199,908446,23026,340199,92898,112168,2649049,730720,289579,102231,129089,156185,1765043,347969,1067122,1534161,578042
2019-04-09,744988,576805,533025,639242,556986,388230,1311489,508367,105495,59787,914754,23583,332210,85410,111035,2565208,733192,298390,104596,125519,151000,1810613,324788,1036894,1559267,585553
2019-04-10,774514,584813,534335,642016,566797,397385,1344221,504132,108381,60463,907191,23252,339992,89151,111214,2611925,742652,305258,108812,132537,155637,1825987,340214,1047791,1574817,582427
2019-04-11,743247,578794,532642,642436,545887,386704,1335413,509966,109039,58141,871721,24701,339206,92416,112779,2557491,754479,299163,106274,128419,156499,1767229,332099,1058299,1513204,549567
2019-04-12,838893,631022,576096,707504,638303,441677,1469693,550044,133047,66925,927807,26628,373309,122626,119238,2773018,824082,331182,123102,152039,170420,1992008,402487,1199576,1715277,668717
2019-04-13,892068,633341,584796,708936,639314,468818,1516865,539080,140219,69960,898582,26585,387230,133248,119200,2833954,821856,326505,124238,167220,171616,1983905,449200,1220924,1711237,719953
2019-04-14,599794,462935,379472,466555,483108,337034,1039726,354577,115001,51425,691386,20800,259442,113639,84426,1860834,618451,221921,84199,122221,117969,1473257,314797,853005,1280458,531022
2019-04-15,851510,596750,528773,618405,558289,424453,1294430,483644,114754,68482,924945,23962,355495,113592,112449,2656019,729042,288075,102833,155462,149258,1837783,419181,1078876,1620466,607207
2019-04-16,867152,675793,623877,731581,609368,464302,1449196,559782,126002,73746,942317,28017,363197,103436,136251,2984845,825161,315120,119619,149349,171012,2079963,399896,1280304,1611712,692129
