,TI,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,UR,VD,VS,ZG,ZH
68,905,166.0,123.0,162.0,173.0,303.0,570.0,353.0,1027.0,314.0,398.0,276.0,167.0,380.0,279.0,195.0,154.0,95.0,147.0,182.0,126.0,247.0,677.0,541.0,128.0,224.0
69,906,167.0,123.0,162.0,173.0,303.0,572.0,355.0,1030.0,314.0,398.0,277.0,168.0,380.0,279.0,198.0,154.0,95.0,147.0,182.0,127.0,247.0,678.0,541.0,128.0,225.0
70,908,168.0,123.0,164.0,174.0,304.0,572.0,357.0,1031.0,314.0,399.0,277.0,168.0,381.0,279.0,198.0,154.0,95.0,147.0,182.0,127.0,247.0,680.0,542.0,128.0,225.0
71,910,168.0,123.0,164.0,174.0,304.0,573.0,358.0,1031.0,314.0,399.0,279.0,168.0,382.0,279.0,203.0,154.0,95.0,149.0,182.0,127.0,247.0,681.0,542.0,128.0,226.0
72,911,169.0,123.0,164.0,175.0,304.0,573.0,359.0,1032.0,314.0,399.0,279.0,168.0,383.0,279.0,203.0,154.0,95.0,149.0,182.0,127.0,247.0,682.0,543.0,129.0,226.0
73,912,169.0,123.0,164.0,175.0,304.0,573.0,359.0,1032.0,314.0,399.0,279.0,169.0,383.0,279.0,203.0,154.0,95.0,150.0,182.0,127.0,247.0,683.0,544.0,130.0,226.0
74,914,170.0,123.0,164.0,175.0,304.0,574.0,360.0,1033.0,314.0,399.0,279.0,169.0,383.0,279.0,203.0,154.0,95.0,150.0,182.0,127.0,247.0,683.0,544.0,131.0,226.0
75,914,170.0,123.0,164.0,176.0,304.0,574.0,360.0,1034.0,314.0,400.0,279.0,170.0,383.0,279.0,203.0,154.0,96.0,150.0,182.0,127.0,247.0,684.0,544.0,131.0,227.0
76,914,171.0,123.0,164.0,176.0,304.0,574.0,360.0,1035.0,314.0,400.0,279.0,171.0,383.0,279.0,203.0,154.0,96.0,150.0,182.0,127.0,247.0,685.0,545.0,131.0,227.0
77,916,171.0,123.0,164.0,177.0,304.0,575.0,360.0,1035.0,314.0,400.0,279.0,171.0,383.0,279.0,203.0,155.0,96.0,150.0,182.0,127.0,247.0,686.0,547.0,131.0,227.0
78,916,172.0,123.0,164.0,177.0,304.0,576.0,360.0,1037.0,314.0,400.0,279.0,172.0,383.0,279.0,203.0,155.0,96.0,150.0,182.0,127.0,247.0,687.0,548.0,131.0,227.0
79,918,172.0,123.0,164.0,177.0,305.0,576.0,361.0,1038.0,314.0,400.0,279.0,172.0,384.0,279.0,203.0,155.0,96.0,150.0,182.0,127.0,247.0,687.0,548.0,131.0,228.0
80,918,173.0,123.0,164.0,177.0,305.0,576.0,362.0,1038.0,314.0,400.0,279.0,172.0,385.0,279.0,203.0,155.0,96.0,150.0,182.0,127.0,247.0,687.0,549.0,132.0,228.0
81,919,174.0,123.0,164.0,177.0,305.0,577.0,362.0,1038.0,314.0,400.0,279.0,172.0,385.0,279.0,203.0,155.0,96.0,150.0,182.0,127.0,,687.0,549.0,132.0,228.0
82,919,174.0,123.0,164.0,178.0,305.0,577.0,363.0,1038.0,314.0,401.0,280.0,172.0,385.0,279.0,203.0,155.0,96.0,151.0,182.0,127.0,,688.0,549.0,134.0,228.0
83,919,174.0,123.0,164.0,178.0,305.0,577.0,363.0,1039.0,314.0,401.0,280.0,172.0,386.0,282.0,203.0,155.0,96.0,151.0,182.0,127.0,,688.0,549.0,134.0,228.0
84,920,175.0,,164.0,178.0,305.0,577.0,363.0,1040.0,314.0,401.0,280.0,172.0,386.0,282.0,203.0,155.0,96.0,152.0,182.0,127.0,,689.0,549.0,134.0,228.0
