date,canton_name,total_trips,dataset,train_trips,road_trips,highway_trips,commuter_trips,non_commuter_trips
2019-01-04,Wallis,1047399,2019,114197,773029,160193,131857,915563
2019-01-05,Solothurn,851484,2019,127413,470559,253525,72328,779170
2019-01-05,Basel-Landschaft,726420,2019,61342,485472,179618,66124,660308
2019-01-05,Schwyz,474847,2019,59011,270996,144849,40294,434563
2019-01-05,Aargau,1498874,2019,159987,965888,373010,132761,1366123
2019-01-05,Ticino,670444,2019,24001,520900,125555,65480,604976
2019-01-05,Schaffhausen,160934,2019,16064,137335,7546,16034,144911
2019-01-05,Uri,122146,2019,13282,57629,51247,9218,112940
2019-01-05,Freiburg,665115,2019,44569,464999,155559,60779,604348
2019-01-05,Luzern,884441,2019,63114,621268,200068,87387,797062
2019-01-05,Geneve,958776,2019,41959,802997,113829,96012,862773
2019-01-05,Zug,371532,2019,43656,215322,112567,35269,336276
2019-01-05,Jura,119618,2019,8186,104883,6558,12504,107124
2019-01-05,Obwalden,73702,2019,6253,58739,8718,7196,66515
2019-01-05,Thurgau,576195,2019,55131,407667,113406,53495,522709
2019-01-05,Glarus,166435,2019,28623,59463,78359,11818,154628
2019-01-05,Basel-Stadt,563015,2019,51088,406623,105313,58632,504393
2019-01-05,Appenzell-Ausserrhoden,127567,2019,11601,107674,8305,12794,114786
2019-01-05,Nidwalden,163701,2019,9950,88408,65354,13754,149958
2019-01-05,Zurich,2809010,2019,338276,2043661,427082,281719,2527301
2019-01-05,Appenzell-Innerrhoden,28096,2019,2082,24943,1080,2691,25415
2019-01-05,Neuchatel,329211,2019,21686,255067,52467,32879,296341
2019-01-05,Bern,2258762,2019,261795,1610450,386541,215538,2043250
2019-01-05,Graubunden,576605,2019,62160,415302,99164,47133,529495
2019-01-05,Sankt-Gallen,1331071,2019,135952,845583,349559,120035,1211060
2019-01-05,Waadt,1812775,2019,157072,1170111,485613,166100,1646696
2019-01-05,Wallis,859227,2019,95531,605437,158280,71081,788168
2019-01-06,Solothurn,638017,2019,107761,329552,200712,43814,594213
2019-01-06,Basel-Landschaft,527917,2019,49234,344353,134340,40800,487128
2019-01-06,Schwyz,403967,2019,56995,224188,122795,27797,376181
2019-01-06,Aargau,1065168,2019,131046,629299,304832,75394,989784
2019-01-06,Ticino,515363,2019,20898,394507,99971,42518,472858
2019-01-06,Schaffhausen,119856,2019,12483,100104,7277,9553,110311
2019-01-06,Uri,104701,2019,14196,43589,46926,6989,97723
2019-01-06,Freiburg,506750,2019,36177,355895,114690,38215,468547
2019-01-06,Luzern,652599,2019,50306,444666,157636,50255,602355
2019-01-06,Geneve,726139,2019,39035,592656,94460,63142,663009
2019-01-06,Zug,286758,2019,38344,153331,95094,21133,265637
2019-01-06,Jura,87890,2019,6996,75875,5028,7503,80397
2019-01-06,Obwalden,58295,2019,4656,46126,7523,4483,53823
2019-01-06,Thurgau,417454,2019,43119,278496,95850,31493,385973
2019-01-06,Glarus,139211,2019,26394,46166,66661,9115,130107
2019-01-06,Basel-Stadt,398596,2019,42817,275973,79816,35260,363346
2019-01-06,Appenzell-Ausserrhoden,102951,2019,9935,85406,7619,8322,94639
2019-01-06,Nidwalden,128298,2019,7457,68729,52125,8693,119619
2019-01-06,Zurich,2093394,2019,268177,1459327,365902,172081,1921326
2019-01-06,Appenzell-Innerrhoden,25355,2019,1797,22430,1134,1847,23514
2019-01-06,Neuchatel,231685,2019,19104,175649,36942,19576,212119
2019-01-06,Bern,1662319,2019,201212,1172166,288963,129615,1532727
2019-01-06,Graubunden,413311,2019,50811,279583,82934,33315,380015
2019-01-06,Sankt-Gallen,1003266,2019,113501,608411,281376,74228,929062
2019-01-06,Waadt,1326789,2019,121498,834733,370578,105123,1221688
2019-01-06,Wallis,618453,2019,74510,426497,117469,46431,572046
2019-01-07,Solothurn,1073333,2019,198857,614324,260163,287012,786333
2019-01-07,Basel-Landschaft,980545,2019,95138,692414,193004,282924,697633
2019-01-07,Schwyz,537358,2019,68874,325077,143419,133388,403982
2019-01-07,Aargau,1962984,2019,269744,1258841,434410,544523,1418473
2019-01-07,Ticino,782727,2019,28889,638966,114882,207456,575281
2019-01-07,Schaffhausen,213471,2019,25590,182259,5634,56427,157056
2019-01-07,Uri,107004,2019,10992,58436,37589,20248,86768
2019-01-07,Freiburg,800933,2019,69605,590690,140649,201416,599528
2019-01-07,Luzern,1104742,2019,93157,771114,240480,302804,801948
2019-01-07,Geneve,1414170,2019,76506,1235743,101932,443729,970454
2019-01-07,Zug,533209,2019,73851,313095,146273,168327,364892
2019-01-07,Jura,153188,2019,12112,135093,5997,40691,112510
2019-01-07,Obwalden,83164,2019,6924,67678,8573,19955,63220
2019-01-07,Thurgau,750866,2019,85335,533678,131863,192013,558863
2019-01-07,Glarus,144449,2019,26855,62716,54888,31205,113255
2019-01-07,Basel-Stadt,817206,2019,81611,628690,106914,260221,556995
